date,time_updated,uh_wait,vh_wait
2022-12-22,2:30,1.5,5.25
2022-12-22,2:45,1,5.5
2022-12-22,3:15,0.75,6
2022-12-22,3:45,1.25,6
2022-12-22,4:00,1.5,6.75
2022-12-22,4:30,1,6.5
2022-12-22,4:45,1.25,6.75
2022-12-22,5:00,0.5,7
2022-12-22,5:30,0.75,7.5
2022-12-22,5:45,1,7.75
2022-12-22,6:00,0.75,8
2022-12-22,6:15,0.5,8.25
2022-12-22,6:30,0.5,8.5
2022-12-22,6:45,0.5,6.5
2022-12-22,7:30,0.75,7.25
2022-12-22,8:00,1.25,7.75
2022-12-22,8:15,1.25,8
2022-12-22,8:45,1.75,3
2022-12-22,9:00,2,3.25
2022-12-22,9:30,1.5,0.5
2022-12-22,9:45,1.75,0.5
2022-12-22,10:00,1.5,0.5
2022-12-22,10:30,2,1
2022-12-22,10:45,2.25,1.25
2022-12-22,11:15,2.25,1.5
2022-12-22,11:30,2.5,1.75
2022-12-22,12:00,3,2.25
2022-12-22,12:30,3.5,2.75
2022-12-22,12:45,3.75,2.75
2022-12-22,13:15,4.25,3.25
2022-12-22,13:30,4.5,3.5
2022-12-22,13:45,4.75,3.75
2022-12-22,14:00,5,4
2022-12-22,14:15,5.25,3.5
2022-12-22,14:30,5.5,3.75
2022-12-22,14:45,5.75,4
2022-12-22,15:00,6,4.25
2022-12-22,15:30,6.5,3.5
2022-12-22,15:45,6.75,3.5
2022-12-22,16:00,7,3.75
2022-12-22,16:15,6,4
2022-12-22,16:30,6.25,2.75
2022-12-22,16:30,6.25,2.75
2022-12-22,16:45,6.5,3
2022-12-22,17:00,5.75,3.25
2022-12-22,17:30,6,3.75
2022-12-22,17:45,6.25,4
2022-12-22,18:15,6.5,4.5
2022-12-22,18:30,6,4.75
2022-12-22,18:45,6,5
2022-12-22,20:15,6,6.5
2022-12-22,21:15,6.75,4
2022-12-22,21:45,7.25,4.5
2022-12-22,22:15,7.75,5
2022-12-22,22:30,4.25,5.25
2022-12-22,22:45,4,5.5
2022-12-22,23:15,4,6
2022-12-22,23:30,4.25,6.25
2022-12-22,23:45,4.5,6.5
2022-12-23,00:01,4.75,6.75
2022-12-23,00:30,5.25,7
2022-12-23,00:45,5.5,7.5
2022-12-23,01:15,6,8
2022-12-23,01:30,6,8.25
2022-12-23,01:45,6.25,8.5
2022-12-23,02:00,6.5,8.75
2022-12-23,02:15,6.75,9
2022-12-23,02:30,7,5.5
2022-12-23,02:45,7.25,5.75
2022-12-23,03:15,7.75,3.75
2022-12-23,03:45,8.25,4.25
2022-12-23,04:00,8.5,4.25
2022-12-23,04:30,8.75,4.75
2022-12-23,04:45,9,5
2022-12-23,05:15,9.5,1.5
2022-12-23,05:30,9.75,0.5
2022-12-23,05:45,10,0.5
2022-12-23,06:00,8.75,0.5
2022-12-23,06:15,9,0.5
